EUR/USD,20090501 00:01:28.023,1.32447,1.32455
EUR/USD,20090501 00:01:28.119,1.32447,1.32456
EUR/USD,20090501 00:01:28.758,1.32451,1.32456
EUR/USD,20090501 00:01:28.759,1.3245,1.32458
EUR/USD,20090501 00:01:29.387,1.32451,1.32458
EUR/USD,20090501 00:01:29.531,1.3245,1.32458
EUR/USD,20090501 00:01:29.550,1.3245,1.32458
EUR/USD,20090501 00:01:29.778,1.32452,1.32458
EUR/USD,20090501 00:01:29.871,1.32451,1.32458
EUR/USD,20090501 00:01:40.018,1.32451,1.3246
EUR/USD,20090501 00:01:40.019,1.32451,1.32458
EUR/USD,20090501 00:01:40.042,1.3245,1.32458
EUR/USD,20090501 00:01:40.758,1.32452,1.32457
EUR/USD,20090501 00:01:40.760,1.32451,1.32458
EUR/USD,20090501 00:01:40.761,1.32451,1.32459
EUR/USD,20090501 00:01:40.778,1.32451,1.32459
EUR/USD,20090501 00:01:40.781,1.32452,1.32459
EUR/USD,20090501 00:01:40.791,1.32452,1.32463
EUR/USD,20090501 00:01:40.832,1.32451,1.32463
EUR/USD,20090501 00:01:41.020,1.32451,1.32461
EUR/USD,20090501 00:01:41.021,1.32451,1.32458
EUR/USD,20090501 00:01:41.042,1.3245,1.32458
EUR/USD,20090501 00:01:41.760,1.32452,1.32456
EUR/USD,20090501 00:01:41.761,1.32451,1.32458
EUR/USD,20090501 00:01:41.786,1.32452,1.32458
EUR/USD,20090501 00:01:41.877,1.32451,1.32458
EUR/USD,20090501 00:01:42.014,1.32451,1.32461
EUR/USD,20090501 00:01:42.027,1.3245,1.32461
EUR/USD,20090501 00:01:42.031,1.3245,1.32459
EUR/USD,20090501 00:01:42.114,1.3245,1.32458
EUR/USD,20090501 00:01:42.760,1.32452,1.32456
EUR/USD,20090501 00:01:43.012,1.32451,1.32461
EUR/USD,20090501 00:01:43.013,1.32451,1.32463
EUR/USD,20090501 00:01:43.014,1.32451,1.32458
EUR/USD,20090501 00:01:43.031,1.3245,1.32458
EUR/USD,20090501 00:01:50.758,1.32452,1.32456
EUR/USD,20090501 00:01:50.759,1.32451,1.32458
EUR/USD,20090501 00:01:50.775,1.32452,1.32458
EUR/USD,20090501 00:01:50.794,1.32452,1.32463
EUR/USD,20090501 00:01:50.832,1.32451,1.32463
EUR/USD,20090501 00:01:59.259,1.32451,1.32461
EUR/USD,20090501 00:01:59.260,1.32451,1.32463
EUR/USD,20090501 00:01:59.276,1.3245,1.32461
EUR/USD,20090501 00:01:59.277,1.3245,1.32458
EUR/USD,20090501 00:01:59.665,1.3245,1.32459
EUR/USD,20090501 00:01:59.757,1.32452,1.32456
EUR/USD,20090501 00:01:59.758,1.32452,1.32459
EUR/USD,20090501 00:01:59.759,1.32451,1.32459
EUR/USD,20090501 00:01:59.777,1.32451,1.32459
EUR/USD,20090501 00:01:59.779,1.32452,1.32459
EUR/USD,20090501 00:01:59.790,1.32452,1.32463
EUR/USD,20090501 00:01:59.884,1.32451,1.32463
EUR/USD,20090501 00:02:00.028,1.32451,1.32461
EUR/USD,20090501 00:02:00.030,1.32451,1.32463
EUR/USD,20090501 00:02:00.051,1.32451,1.32459
EUR/USD,20090501 00:02:00.058,1.3245,1.32459
EUR/USD,20090501 00:02:00.109,1.3245,1.32458
EUR/USD,20090501 00:02:00.187,1.3245,1.32459
EUR/USD,20090501 00:02:00.510,1.32452,1.32456
EUR/USD,20090501 00:02:00.511,1.32452,1.32459
EUR/USD,20090501 00:02:00.514,1.32451,1.32458
EUR/USD,20090501 00:02:00.535,1.32452,1.32458
EUR/USD,20090501 00:02:00.763,1.32452,1.32458
EUR/USD,20090501 00:02:00.790,1.3245,1.32458
EUR/USD,20090501 00:02:01.511,1.32452,1.32456
EUR/USD,20090501 00:02:01.512,1.32451,1.32458
EUR/USD,20090501 00:02:01.557,1.32452,1.32458
EUR/USD,20090501 00:02:01.620,1.32452,1.32463
EUR/USD,20090501 00:02:01.762,1.32452,1.32461
EUR/USD,20090501 00:02:01.763,1.32452,1.32456
EUR/USD,20090501 00:02:01.765,1.32452,1.32463
EUR/USD,20090501 00:02:01.783,1.32452,1.32459
EUR/USD,20090501 00:02:01.783,1.3245,1.32459
EUR/USD,20090501 00:02:02.259,1.32452,1.32456
EUR/USD,20090501 00:02:02.514,1.32451,1.32461
EUR/USD,20090501 00:02:02.515,1.32451,1.32463
EUR/USD,20090501 00:02:02.532,1.3245,1.32461
EUR/USD,20090501 00:02:02.534,1.3245,1.32459
EUR/USD,20090501 00:02:02.578,1.3245,1.32458
EUR/USD,20090501 00:02:02.764,1.3245,1.32459
EUR/USD,20090501 00:02:02.814,1.3245,1.32458
EUR/USD,20090501 00:02:03.015,1.32452,1.32456
EUR/USD,20090501 00:02:03.016,1.32451,1.32458
EUR/USD,20090501 00:02:03.054,1.32452,1.32458
EUR/USD,20090501 00:02:03.259,1.32452,1.32458
EUR/USD,20090501 00:02:03.275,1.3245,1.32458
EUR/USD,20090501 00:02:03.424,1.3245,1.32459
EUR/USD,20090501 00:02:03.447,1.3245,1.32458
EUR/USD,20090501 00:02:03.759,1.32452,1.32456
EUR/USD,20090501 00:02:03.760,1.32451,1.32458
EUR/USD,20090501 00:02:03.787,1.32452,1.32458
EUR/USD,20090501 00:02:03.791,1.32452,1.32463
EUR/USD,20090501 00:02:03.875,1.32451,1.32463
EUR/USD,20090501 00:02:04.014,1.32451,1.32461
EUR/USD,20090501 00:02:04.015,1.32451,1.32463
EUR/USD,20090501 00:02:04.026,1.32451,1.32459
EUR/USD,20090501 00:02:04.052,1.3245,1.32459
EUR/USD,20090501 00:02:04.097,1.3245,1.32458
EUR/USD,20090501 00:02:04.276,1.3245,1.32459
EUR/USD,20090501 00:02:04.511,1.32452,1.32456
EUR/USD,20090501 00:02:04.512,1.32451,1.32459
EUR/USD,20090501 00:02:04.526,1.32451,1.32459
EUR/USD,20090501 00:02:04.535,1.32452,1.32459
EUR/USD,20090501 00:02:04.571,1.32452,1.32463
EUR/USD,20090501 00:02:04.758,1.32452,1.32461
EUR/USD,20090501 00:02:04.760,1.32452,1.32463
EUR/USD,20090501 00:02:04.774,1.32452,1.32459
EUR/USD,20090501 00:02:04.841,1.3245,1.32459
EUR/USD,20090501 00:02:04.843,1.3245,1.32458
EUR/USD,20090501 00:02:05.259,1.32452,1.32457
